SID,Title,ISSN,EISSN,Coverage,Language,Type,Publisher,Code
16341,Expert Review of Anti-Infective Therapy,14787210,17448336,2003-2024,ENG,Journal,Taylor and Francis Ltd.,2726; 2725; 2406; 2404
23205,Expert Review of Cardiovascular Therapy,14779072,17448344,2003-2024,ENG,Journal,Taylor and Francis Ltd.,2724; 2705
4800153101,Expert Review of Clinical Immunology,1744666X,17448409,2006-2024,ENG,Journal,Taylor and Francis Ltd.,2403; 2723
10300153301,Expert Review of Clinical Pharmacology,17512433,17512441,2008-2024,ENG,Journal,Taylor and Francis Ltd.,2736; 3000
6500153242,Expert Review of Endocrinology and Metabolism,17446651,,2006-2024,ENG,Journal,Taylor and Francis Ltd.,2712
12100154708,Expert Review of Gastroenterology and Hepatology,17474124,17474132,2007-2024,ENG,Journal,Taylor and Francis Ltd.,2715; 2721
19700174994,Expert Review of Hematology,17474086,17474094,2008-2024,ENG,Journal,Taylor and Francis Ltd.,2720
79319,Expert Review of Medical Devices,17434440,,2004-2024,ENG,Journal,Taylor and Francis Ltd.,2204; 2746
21369,Expert Review of Molecular Diagnostics,14737159,17448352,2001-2024,ENG,Journal,Taylor and Francis Ltd.,1311; 1312; 1313; 2734
21370,Expert Review of Neurotherapeutics,14737175,17448360,2001-2024,ENG,Journal,Taylor and Francis Ltd.,2736; 2728; 2800
11900154333,Expert Review of Ophthalmology,17469899,,2006-2024,ENG,Journal,Taylor and Francis Ltd.,3610; 2731; 2204
21371,Expert Review of Pharmacoeconomics and Outcomes Research,14737167,17448379,2001-2024,ENG,Journal,Taylor and Francis Ltd.,2736; 2719
21100860941,Expert Review of Precision Medicine and Drug Development,,23808993,2016-2024,ENG,Journal,Taylor and Francis Ltd.,1313; 3002; 3004; 1311
130051,Expert Review of Proteomics,14789450,17448387,2004-2024,ENG,Journal,Taylor and Francis Ltd.,1312; 1303
11900154332,Expert Review of Respiratory Medicine,17476348,17469902,2007-2024,,Journal,Taylor and Francis Ltd.,2739; 2740; 2723
20783,Expert Review of Vaccines,14760584,17448395,2002-2024,ENG,Journal,Taylor and Francis Ltd.,3002; 3004; 1313; 2403
26618,Expert Reviews in Molecular Medicine,14623994,,1997-2024,,Journal,Cambridge University Press,1312; 1313
24185,Expert Systems,2664720,14680394,1984-2025,ENG,Journal,Wiley-Blackwell Publishing Ltd,1702; 1703; 2614; 2207
24201,Expert Systems with Applications,9574174,,1990-2025,ENG,Journal,Elsevier Ltd,1706; 1702; 2200
16600154707,Explicator,144940,1939926X,1987-2024; 1985; 1982-1983; 1975-1980,ENG,Journal,Routledge,1208; 3304
21101181771,Explokart Studies in the History of Cartography,24683019,,2021-2022; 2016-2019,ENG,Book Series,Brill Academic Publishers,1201; 1202
21101188438,Exploration,27668509,27662098,2021-2024,ENG,Journal,John Wiley and Sons Inc,1000
100582,Exploration Geophysics,8123985,18347533,1970-2024,ENG,Journal,Taylor and Francis Ltd.,1907; 1908
21101070993,"Exploration Geophysics, Remote Sensing and Environment",18031447,18052266,2019-2024,ENG,Journal,CAAG - Czech Association of Geophysicists,1903; 1908; 1909; 2305
21101174183,Exploration of Immunology,,27686655,2021-2024,ENG,Journal,Open Exploration Publishing Inc,2404; 2403; 2401
21101088221,Exploration of Medicine,,26923106,2020-2024,ENG,Journal,Open Exploration Publishing Inc,2700; 1313
21101256286,Exploration of Neuroprotective Therapy,,27696510,2021-2024,ENG,Journal,Open Exploration Publishing Inc,2808; 2805; 2801
21101088220,Exploration of Targeted Anti-tumor Therapy,,26923114,2020-2024,ENG,Journal,Open Exploration Publishing Inc,1306; 2730
28528,Explorations in Economic History,144983,10902457,1969-2025,ENG,Journal,Academic Press Inc.,2002; 1202
21101037300,Explorations in Media Ecology,15397785,20480717,2019-2024,ENG,Journal,Intellect Ltd.,3304; 3316
21101145392,Explorations in Medieval Culture,23520299,,2021-2023; 2015-2019,ENG,Book Series,Brill Academic Publishers,1202; 3316
14974,Explorations in Renaissance Culture,982474,23526963,1996-2023; 1976,ENG,Journal,Brill Academic Publishers,3316; 1211; 1210; 1208; 1202; 1213
21100868929,Exploratory Animal and Medical Research,2277470X,2319247X,2018-2024,ENG,Journal,West Bengal Veterinary Alumni Association,2307; 2739; 3400; 2303; 2701
21101132921,Exploratory Research in Clinical and Social Pharmacy,,26672766,2021-2025,ENG,Journal,Elsevier Inc.,3611; 2736; 2307
4000148707,Explore,15508307,18787541,2005-2025,ENG,Journal,Elsevier Inc.,2900; 2603; 3602; 2707
21100937107,Exploring Urban Change in South Asia,23670045,23670053,2022; 2020; 2016-2018,ENG,Book Series,Springer International Publishing,3322; 3305
21101124341,Ex-position,2663032X,27094103,2018-2024,ENG,Journal,National Taiwan University Department of Foreign Languages and Literatures,1208; 1201
26451,Expositiones Mathematicae,7230869,,2004-2024,ENG; FRE; GER,Journal,Elsevier GmbH,2600
5800162102,Expository Times,145246,17455308,1889-2024,ENG,Journal,SAGE Publications Ltd,1212
21100464956,Exposure and Health,24519766,24519685,2015-2024,ENG,Journal,Springer,2739; 2312; 2310; 2307
11200153519,Express Polymer Letters,1788618X,,2007-2025,ENG,Journal,BME-PT and GTE,2505; 1605; 2507; 1606; 1500
16400154736,Expressions Maghrebines,15400085,,2002-2024,FRE,Journal,"Florida State University, Winthrop-King Institute for Contemporary French and Francophone Studies",1208
21101070055,ExRNA,,23980060,2019-2024,ENG,Journal,ELSP,1312
21101160588,Extracellular Vesicles and Circulating Nucleic Acids,,27676641,2020-2024,ENG,Journal,OAE Publishing Inc.,1307; 1300; 1301
21101049680,Extracta Mathematicae,,26055686,2019-2024,ENG; SPA,Journal,Instituto de Matematicas de la Universidad de Extremadura (IMUEX),2601; 2608; 2603; 2602
21100305261,Extractive Industries and Society,2214790X,22147918,2014-2025,ENG,Journal,Elsevier Ltd,2308; 1905; 3303; 3305
21100202733,Extrapolation,145483,,2011-2024,ENG,Journal,Liverpool University Press,1208; 3316
21100376821,Extreme Mechanics Letters,,23524316,2014-2025,ENG,Journal,Elsevier Ltd,2211; 2210; 2201; 1502; 1501
21101098811,Extreme Medicine,27132757,27132765,2019-2024,ENG; RUS,Journal,Federal Medical Biological Agency Publishing Group,2739; 2741; 3005; 2726; 2725; 2716; 2723; 2732
145213,Extremes,13861999,,2004-2024,ENG,Journal,Springer Netherlands,2001; 2201; 2613
15610,Extremophiles,14310651,14334909,1997-2025,ENG,Journal,Springer,1313; 2404
18700156720,Eye - International Review of Graphic Design,0960779X,,2021-2023; 2008-2019,ENG,Journal,Haymarket Business Publications Ltd.,1200
13867,Eye (Basingstoke),0950222X,14765454,1987-2024,ENG,Journal,Springer Nature,2809; 2731
21100389521,Eye and Brain,,11792744,2014-2024,ENG,Journal,Dove Medical Press Ltd,2809; 2804; 2731
13869,Eye and Contact Lens,15422321,1542233X,2003-2024; 1993-1994; 1986,ENG,Journal,Lippincott Williams and Wilkins Ltd.,2731
21101060497,Eye and Vision,,23260254,2014-2024,ENG,Journal,Springer Nature,2731; 3601
21101241165,Eye Glaz,22224408,26868083,2020-2024,ENG; RUS,Journal,Academy of Medical Optics and Optometry Non-State Educational Private Institution of Continuing Professional Education LLC,3610; 2731
21100874725,Ezikov Svyat,13120484,,2018-2024,BUL,Journal,"South-West University Publishing House, Faculty of Philology",1208; 3310; 1203
21101061925,F and S Reports,,26663341,2020-2024,ENG,Journal,Elsevier Inc.,2710; 2743; 2729
21101093031,F and S Reviews,,26665719,2020-2025,ENG,Journal,American Society for Reproductive Medicine,2729; 2743
21101065167,F and S Science,,2666335X,2020-2024,ENG,Journal,Elsevier Inc.,2710; 2743
21100871672,F. Scott Fitzgerald Review,15433951,17556333,2017-2023,ENG,Journal,Penn State University Press,1208
21100258853,F1000Research,,20461402,2012-2024,ENG,Journal,F1000 Research Ltd,1201; 3000; 2400; 1300; 2700; 3301; 3309
27766,Fa yi xue za zhi,10045619,,1997-2024,CHI,Journal,Journal of Forensic Medicine,2734
21374,Fabad Journal of Pharmaceutical Sciences,13004182,,2003-2024; 1999-2001,ENG; TUR,Journal,Society of Pharmaceutical Sciences of Ankara,3003
6000155454,Fabrications,10331867,21644756,2015-2024; 1993-1995; 1991; 1989,ENG,Journal,Routledge,3322; 1213
21101023684,Fabriksoftware,25697692,,2018-2024,GER,Journal,Gito Verlag,1405; 2209; 1802; 1706; 1710; 1712
16100154765,Fabula,146242,16130464,1969-2024; 1964-1967; 1958-1962,FRE; GER,Journal,Walter de Gruyter GmbH,3316; 1208
21101163288,Face,,27325016,2020-2024,ENG,Journal,SAGE Publications Inc.,2746
21100938000,Facets,,23711671,2017-2024,ENG,Journal,Canadian Science Publishing,1000
5800207836,Fachsprache,10173285,25239201,2015-2024; 2011-2013,ENG; GER,Journal,Facultas Verlags- und Buchhandels AG,3310; 1203
21132,Facial Plastic Surgery,7366825,10988793,1992-2024; 1983-1990,ENG,Journal,"Thieme Medical Publishers, Inc.",2746
21101027511,Facial Plastic Surgery and Aesthetic Medicine,26893614,26893622,2020-2024,ENG,Journal,Mary Ann Liebert Inc.,2746
21134,Facial Plastic Surgery Clinics of North America,10647406,15581926,2001-2025,ENG,Journal,W.B. Saunders,2746
22610,Facies,1729179,16124820,1979-2025,ENG,Journal,Springer Science and Business Media Deutschland GmbH,1913; 1911; 1907
144739,Facilities,2632772,,1983-2024,ENG,Journal,Emerald Group Publishing Ltd.,2215; 2216; 3307
21101089509,Facta,19719051,1974451X,2019-2023,ENG; FRE; ITA,Journal,Fabrizio Serra Editore Srl,3302; 1202; 1204; 3316; 1205
21101215776,"Facta Universitatis, Series: Electronics and Energetics",3533670,22175997,2023-2024,ENG,Journal,University of Nis,2208
21100431860,"Facta Universitatis, Series: Mechanical Engineering",3542025,23350164,2015-2024,ENG,Journal,University of Nis,2209; 2507; 2210; 2211; 2205
21100235624,Faith and Philosophy,7397046,21533393,1995-2023,ENG,Journal,Society of Christian Philosophers,1212; 1211
29769,Familial Cancer,13899600,15737292,2003-2025; 2001,ENG,Journal,Springer Science and Business Media B.V.,1311; 1306; 2716; 2730
29908,Families in Society,10443894,,1996-2024; 1993,ENG,Journal,Families International Inc,3301
21100416483,"Families, Relationships and Societies",20467435,20467443,2012-2024,ENG,Journal,The Policy Press,3312
13277,"Families, Systems and Health",10917527,19390602,1996-2024,ENG,Journal,American Psychological Association,2738; 3202
20739,Family and Community Health,1606379,15505057,1978-2024,ENG,Journal,Lippincott Williams and Wilkins Ltd.,2739
5600153227,Family and Community History,14631180,,2013-2024; 2001; 1999,ENG,Journal,Maney Publishing,3312; 1202
5700154315,Family and Consumer Sciences Research Journal,1077727X,15523934,1994-2024; 1972-1973,ENG,Journal,Wiley-Blackwell,3312; 3316
4000148307,Family Business Review,8944865,17416248,1988-2024,ENG,Journal,SAGE Publications Inc.,2003; 1401
21100933893,Family Court Review,15312445,17441617,2019-2024; 1996-2017,ENG,Journal,John Wiley & Sons Inc.,3308
144975,Family Journal,10664807,,1993-2025,ENG,Journal,SAGE Publications Inc.,3301; 3207
27936,Family Law Quarterly,0014729X,,2022; 2017; 1996-2012; 1991-1992; 1988; 1983-1985; 1979-1980; 1977; 1973-1975,ENG,Journal,American Bar Association,3308; 3301
13298,Family Medicine,7423225,19383800,1985-2024,ENG,Journal,Society of Teachers of Family Medicine,2714
21100455625,Family Medicine and Community Health,23056983,20098774,2013-2024,ENG,Journal,BMJ Publishing Group,2714; 2739
4700152222,Family Medicine and Primary Care Review,17343402,,2006-2024,ENG,Journal,Wydawnictwo Continuo,2700
21101186197,Family Medicine. European Practices,2786720X,27867218,2022-2024,ENG; UKR,Journal,Publishing House Professional-Event,2739; 2714
27901,Family Practice,2632136,14602229,1984-2024,ENG,Journal,Oxford University Press,2714
27902,Family Practice Management,10695648,15311929,1997-2024,ENG,Journal,American Academy of Family Physicians,2714; 2719
14152,Family Process,147370,15455300,1962-2024,ENG,Journal,Wiley-Blackwell Publishing Ltd,3301; 3203; 3207
28902,Family Relations,1976664,17413729,1996-2024; 1992; 1981,ENG,Journal,Wiley-Blackwell Publishing Ltd,3301; 3204; 3304
15861,Fangzhi Gaoxiao Jichukexue Xuebao,10068341,,2019-2024; 1999-2017,CHI,Journal,Basic Sciences Journal of Textile Universities,2507
21100854139,Fangzhi Xuebao/Journal of Textile Research,2539721,,2018-2024; 2016; 1988-1990,,Journal,China Textile Engineering Society,2505; 2507; 2501
21100407142,Far Eastern Entomologist,1026051X,,2015-2024,ENG; RUS,Journal,"Far East Branch of the Russian Entomological Society and Laboratory of Entomology, Institute of Biology and Pedology",1109
26898,Faraday Discussions,13596640,13645498,1972-2024; 1969; 1962; 1950-1951; 1947,ENG,Journal,Royal Society of Chemistry,1606
12680,Farbe und Lack,147699,,1994-2024; 1983-1989; 1976-1981; 1973-1974,,Trade Journal,Vincentz Verlag,1600; 2508
21101188858,Farmaceuticos Comunitarios,18858619,21739218,2019-2024,ENG; SPA,Journal,Sociedad Espanola de Farmacia Clinica Familiar y Comunitaria,3003; 3004; 2920; 3611
21798,Farmaceutski Glasnik,148202,,1990-2024; 1962; 1950-1951,SCR,Journal,Hrvatsko Farmaceutsko Drustvo,3003; 3004
21810,Farmacia,148237,,2008-2024; 2003; 1973-1987; 1945-1946,RUM,Journal,Romanian Society for Pharmaceutical Sciences,3000
21811,Farmacia Hospitalaria,11306343,21718695,1990-2024,SPA,Journal,Elsevier B.V.,3611; 3004
21820,Farmacja Polska,148261,,2019-2024; 1995; 1985-1993; 1973-1983; 1961-1962; 1953-1955,POL,Journal,Polish Pharmaceutical Society,3001; 3003; 3004
21101016799,Farmakoekonomika,20704909,20704933,2017-2024,RUS,Journal,IRBIS LLC,2739; 2719; 3004
21100922188,Farmatsiya i Farmakologiya,23079266,24132241,2019-2024,RUS,Journal,"Volgograd State Medical University, Pyatigorsk Medical and Pharmaceutical Institute",2736; 3003; 3004; 3611; 2920
21101199904,Farming System,,29499119,2023-2025,ENG,Journal,China Agricultural University,1105; 1101; 1111; 1102
5800205583,Fascism,22116249,22116257,2012-2024,ENG,Journal,Brill Academic Publishers,3312; 1202
21101045739,FASEB BioAdvances,,25739832,2019-2024,ENG,Journal,John Wiley and Sons Inc,1314; 1313; 1306; 1301
15048,FASEB Journal,8926638,15306860,1987-2024,ENG,Journal,John Wiley & Sons Inc.,1303; 1311; 1305; 1312
21100838559,Fashion and Textiles,,21980802,2014-2024,ENG,Journal,Springer Singapore,1406; 1408; 2501; 3316; 3207
19700169948,Fashion Practice,17569370,17569389,2015-2024,ENG,Journal,Routledge,1213; 3316
5700168304,Fashion Theory - Journal of Dress Body and Culture,1362704X,,2002-2024,ENG,Journal,Taylor and Francis Ltd.,1213; 3316
21100858350,"Fashion, Style and Popular Culture",20500726,20500734,2016-2024,ENG,Journal,Intellect Ltd.,1406; 1408; 2501; 3316; 3207
21100425898,Fat Studies,21604851,2160486X,2012-2024,ENG,Journal,Taylor and Francis Ltd.,2916; 3314; 3316; 3207; 3306; 3318
29222,Fatigue and Fracture of Engineering Materials and Structures,8756758X,14602695,1979-2025,ENG,Journal,Wiley-Blackwell Publishing Ltd,2500; 2210; 2211
21100825855,Fatigue of Aircraft Structures,20817738,23007591,2016-2024,ENG,Journal,De Gruyter Open Ltd.,2211; 2213; 2202; 2205
21100432435,"Fatigue: Biomedicine, Health and Behavior",21641846,21641862,2013-2024,ENG,Journal,Taylor and Francis Ltd.,2802; 2739; 2701
21515,Fauna Norvegica,15024873,18915396,2023-2024; 2012-2021; 2008-2010; 2000-2005,ENG; NOR,Journal,Norwegian University of Science and Technology,1103
21101145383,Faux Titre,1679392,,1984-2024; 1981-1982,FRE,Book Series,Brill Academic Publishers,1208; 1201; 1202
5800208010,Faventia,2107570,,2023; 2015-2021; 2012,SPA,Book Series,"Departament de Classiques, Facultat de Lletres, Publicacions de la Universitat Autonoma de Barcelona",3310; 1202; 1203; 1205
21101149482,Fayoum University Medical Journal,25369474,25369482,2018-2024,ENG,Journal,"Fayoum University, Faculty of Medicine",2700
38597,FEBS Journal,1742464X,17424658,2005-2024,ENG,Journal,John Wiley and Sons Inc,1312; 1303; 1307
17481,FEBS Letters,145793,18733468,1968-2024,ENG,Journal,John Wiley and Sons Inc,1311; 1303; 1304; 1312; 1307; 1315
21100197927,FEBS Open Bio,,22115463,2011-2024,ENG,Journal,John Wiley and Sons Inc,1300
18048,Feddes Repertorium,148962,1522239X,1989-2024; 1965-1987,ENG,Journal,Wiley-Blackwell,1110; 1105
21100872375,Federal Law Review,0067205X,14446928,2018-2024,ENG,Journal,"Australian National University, College of Law",3308
19763,Federal Probation,149128,,1996-2023; 1974-1982,,Journal,Administrative Office of the United States Courts,3308; 2734
12871,Federal Register,976326,,1973-2024,ENG,Journal,Office of the Federal Register,3308; 3321
4400151503,Federal Reserve Bank of St. Louis Review,149187,,2005-2024,ENG,Journal,Federal Reserve Bank of St.Louis,1403
21101119721,Federalismi.it,,18263534,2022-2024; 2019-2020,ENG; ITA,Journal,Societa Editoriale Federalismi s.r.l.,3308
14172,Feminism and Psychology,9593535,14617161,1991-2024,ENG,Journal,SAGE Publications Ltd,1201; 3318; 3200
21101147579,Feminist Anthropology,,26437961,2020-2024,ENG,Journal,John Wiley and Sons Inc,3318; 3314
11400153312,Feminist Criminology,15570851,1557086X,2006-2025,ENG,Journal,SAGE Publications Ltd,3308; 3318
21255,Feminist Economics,13545701,14664372,1995-2024,ENG,Journal,Routledge,2002; 1201; 1400; 3318
21101087297,Feminist Encounters,,24684414,2019-2024,ENG,Journal,Lectito,3312; 3314; 3316; 3318
21101169012,Feminist Formations,21517363,21517371,2019-2024,ENG,Journal,Johns Hopkins University Press,1208; 3318; 1211; 3316
21101045322,Feminist German Studies,25785206,25785192,2018-2024,ENG,Journal,University of Nebraska Press,3310; 1201; 3316; 3318
144966,Feminist Legal Studies,9663622,,2005-2024; 1993-2002,ENG,Journal,Springer International Publishing AG,3318
21100909465,Feminist Media Histories,,23737492,2019-2024,ENG,Journal,University of California Press,1202; 3318
5700168400,Feminist Media Studies,14680777,,2001-2024,ENG,Journal,Routledge,1213; 3315; 3318
21101091182,Feminist Modernist Studies,24692921,2469293X,2018-2024,ENG,Journal,Informa Healthcare,3316; 3318; 1208
23596,Feminist Review,1417789,14664380,1994-2024,ENG,Journal,Palgrave Macmillan Ltd.,1201; 3318
23597,Feminist Studies,463663,,1996-2024; 1994; 1991; 1986-1987; 1983; 1978-1981; 1975,ENG,Journal,Feminist Studies Inc.,1201; 3318
17500155104,Feminist Theology,9667350,17455189,1992-2024,ENG,Journal,SAGE Publications Ltd,1212; 3318
700147308,Feminist Theory,14647001,,2000-2024,ENG,Journal,SAGE Publications Ltd,3318
19300156907,Feministische Studien,7235186,23659920,2008-2024,GER,Journal,Walter de Gruyter GmbH,3312; 3318
21101159013,FEMS Microbes,,26336685,2020-2024,ENG,Journal,Oxford University Press,2406; 2401; 2404; 2405
19705,FEMS Microbiology Ecology,1686496,15746941,1990-2024,ENG,Journal,Oxford University Press,2402; 2404; 2303
19706,FEMS Microbiology Letters,3781097,15746968,1977-2024,ENG,Journal,Oxford University Press,1312; 1311; 2404
19708,FEMS Microbiology Reviews,1686445,15746976,1992-2024; 1989-1990,ENG,Journal,Oxford University Press,2404; 2725
19710,FEMS Yeast Research,15671356,15671364,2001-2024,,Journal,Oxford University Press,2402; 2404
17700156411,Fenmo Yejin Cailiao Kexue yu Gongcheng/Materials Science and Engineering of Powder Metallurgy,16730224,,2009-2024,CHI,Journal,Central South University,2506
31769,Fenmo Yejin Jishu/Powder Metallurgy Technology,10013784,,1993-2024; 1986-1989,CHI,Journal,University of Science and Technology Beijing,2506; 2211
28154,Fennia,150010,17985617,2011-2024; 1979-2009; 1976,ENG,Journal,Geographical Society of Finland,2303; 3305; 1107
21100242208,Fennoscandia Archaeologica,7817126,,2023-2024; 2021; 2011-2018,ENG; GER,Journal,The Archaeological Society of Finland,3302; 1204
21100900055,Fermentation,,23115637,2015-2024,ENG,Journal,Multidisciplinary Digital Publishing Institute (MDPI),1110; 1301; 1106
27571,Ferroelectrics,150193,,1970-2024,ENG,Journal,Taylor and Francis Ltd.,3104; 2504
16702,"Ferroelectrics, Letters Section",7315171,15635228,1983-2024,ENG,Journal,Taylor and Francis Ltd.,3104; 2504
12705,Fertility and Sterility,150282,15565653,1950-2024,ENG,Journal,Elsevier Inc.,2729; 2743
21100869512,Festival dell'Architettura Magazine,,20390491,2018-2023,ENG,Journal,Festival Architettura Edizioni,3322; 1213; 2216
144723,Fetal and Pediatric Pathology,15513815,15513823,2003-2024; 2000-2001; 1983-1998,ENG,Journal,Informa Healthcare,2734; 2735
12708,Fetal Diagnosis and Therapy,10153837,14219964,1986-2024,ENG,Journal,S. Karger AG,2729; 2741; 2710; 2735
27573,Few-Body Systems,1777963,14325411,1986-2025,ENG,Journal,Springer-Verlag Wien,3107
16200154752,FF Communications,145815,,2012-2023; 2009-2010; 2002-2007,ENG; FRE; GER,Book Series,Academia Scientiarum Fennica,1212; 3314; 3316
21100943824,FGF Studies in Small Business and Entrepreneurship,23646918,23646926,2018-2023; 2016,ENG,Book Series,Springer International Publishing AG,1408; 2002; 1403
21101185604,fib Bulletins,15623610,,2022-2023,ENG,Book Series,fib. The International Federation for Structural Concrete,3304
29679,Fiber and Integrated Optics,1468030,10964681,1977-2024,ENG,Journal,Taylor and Francis Ltd.,3107; 2504
21100847432,Fibers,,20796439,2013-2024,ENG,Journal,Multidisciplinary Digital Publishing Institute (MDPI),2211; 2502; 2205; 2503
144862,Fibers and Polymers,12299197,,2000-2024,ENG,Journal,Korean Fiber Society,2507; 1500; 1600
26467,Fibonacci Quarterly,150517,,2010-2024; 1996-2008,ENG,Journal,Fibonacci Association,2602
110297,Fibre Chemistry,150541,15738493,1969-2024,ENG,Journal,Springer,2500; 1600; 1500
15882,Fibres and Textiles in Eastern Europe,12303666,23007354,1995-2024; 1993,ENG,Journal,Sciendo,2209; 2300; 2501; 1403
21100228017,Fichte-Studien,9250166,18795811,2016-2024; 2012-2014; 2009; 2003,GER,Book Series,Editions Rodopi B.V.,1211
21101175749,"Fichte-Studien, Supplementa",9273816,,2023; 2009-2012; 2002-2006; 1999-2000; 1993-1997,ENG; GER,Book Series,Brill Academic Publishers,1211
21101211363,Fictions,17213673,1724045X,2019-2024,ENG; FRE; ITA,Journal,Fabrizio Serra Editore,1208; 1201
21100220499,Field Actions Science Report,1867139X,18678521,2012-2024,ENG,Journal,Institut Veolia Environnement,3312; 3303; 3304; 3305; 3306
78796,Field Crops Research,3784290,18726852,1978-2025,ENG,Journal,Elsevier B.V.,1102; 1111
5600155075,Field Methods,1525822X,,1989-2024,ENG,Journal,SAGE Publications Inc.,3314
21100229419,Fields Institute Communications,10695265,,2022-2024; 2012-2020,ENG,Book Series,Springer Science + Business Media,2600
21100229816,Fields Institute Monographs,10695273,,2023; 2017-2020; 2012-2015,ENG,Book Series,Springer Science + Business Media,2600
21100455666,Fieldwork in Religion,17430615,17430623,2014-2024,ENG,Journal,Equinox Publishing Ltd,1212
21101070218,Figurative Thought and Language,24056944,,2022-2023; 2017-2018,ENG,Book Series,John Benjamins Publishing Company,3310
17700156013,Figures de la Psychanalyse,16233883,17762847,2024; 2009-2022; 2001-2007,ENG; FRE,Journal,Editions Eres,2738; 3203
21101045042,FIIB Business Review,23197145,24552658,2011-2025,ENG,Journal,Sage Publications India Pvt. Ltd,1407; 1408; 1401; 1403
21101196751,Filistin Arastirmalari Dergisi,,25871862,2019-2024,ENG; TUR,Journal,Muhammed Mustafa KULU,1201; 1202; 3316; 1212
20000195090,Film and History,3603695,15489922,2011-2024,ENG,Journal,Center for the Study of Film and History,1202; 1213; 3316
16200154726,Film Criticism,1635069,,2023-2024; 2002-2020,ENG,Journal,Allegheny College,1213
21100920225,Film Fashion and Consumption,20442823,20442831,2019-2023,ENG,Journal,Intellect Ltd.,1202; 1213; 3315; 3316
16200154737,Film History: An International Journal,8922160,15533905,2002-2023; 1999; 1987,ENG,Journal,Indiana University Press,1202; 1213
21100218017,Film International,16516826,20403801,2012-2023,ENG,Journal,Intellect Ltd.,3315; 3316; 1213
11600153482,Film Quarterly,151386,15338630,1969-2024,ENG,Journal,University of California Press,1213
21100903778,Film-Philosophy,,14664615,2006-2024; 1998-1999,ENG,Journal,Edinburgh University Press,1211; 1213; 3315
21101064957,Filolog (Banja Luka),19865864,22331158,2020-2024,ENG; FRE; GER; ITA; RUS,Journal,Faculty of Philology Banja Luka,1208; 3310; 1203; 3316
21100833037,Filologia Mediolatina,11240008,,2015-2023,FRE; GRE; ITA; SPA,Journal,SISMEL Edizioni del Galluzzo,3310; 1203
21101227928,Filologie Medievali e Moderne: Serie Occidentale,2610945X,26109441,2023; 2019-2021,ENG; FRE; ITA,Book Series,Fondazione Universita Ca Foscari,1211; 1208; 1203; 1202
21101227196,Filologie Medievali e Moderne: Serie Orientale,26109468,26109476,2022,ENG; FRE; ITA,Book Series,Fondazione Universita Ca Foscari,1211; 1208; 1203; 1202
5800215407,Filologija,0449363X,,2011-2024,SCR,Journal,Hrvatska Akademija Znanosti i Umjetnosti,3310; 1203
19900192450,Filomat,3545180,,2010-2024,ENG,Journal,Universitet of Nis,2600
21100222908,Filosofia Politica,3947297,,2012-2024,ITA,Journal,Il Mulino publishing house,1211; 3312; 1202
21100812553,Filosofia Theoretica,22768386,24085987,2014-2024,ENG,Journal,Calabar School of Philosophy,3316; 3312; 1212; 1211
5800170623,Filosofia Unisinos,15195023,19848234,2010-2024,POR,Journal,Universidade do Vale do Rio dos Sinos,1211
16800154730,Filosoficky Casopis,151831,,2002-2024,ENG; FRE; GER; RUS,Journal,Czech Academy of Sciences,1212
11600153664,"Filosofija, Sociologija",2357186,,2008-2024,ENG; LIT,Journal,Lithuanian Academy of Sciences Publishers,3312; 1211
21101054413,Filosofiya Nauki i Tehniki,24139084,26587297,2019-2024,ENG; RUS,Journal,"Institute of Philosophy, Russian Academy of Science",1207
21101045755,Filosofiya. Zhurnal Vysshey Shkoly Ekonomiki,,25878719,2019-2024,RUS,Journal,"National Research University, Higher School of Econoimics",1207; 1202; 1211; 1212
21100940504,Filosofskii Zhurnal,20720726,26584883,2019-2024,RUS,Journal,Russian Academy of Sciences,1207; 1211; 1203; 3316
5700154126,Filozofia,0046385X,25857061,2002-2024,ENG; SLO,Journal,Slovak Academy of Sciences,1212; 1211
19900191992,Filozofia Nauki,12306894,,2011-2023,POL,Journal,Warsaw University,1207; 1211
21100892768,Filozofija i Drustvo,3535738,23348577,2018-2024,ENG,Journal,University of Belgrade - Institute for Philosophy and Social Theory,3312; 1211
19700174725,Filozofska Istrazivanja,3514706,,2009-2023,SCR,Journal,Croatian Philosophical Society,1211
5700161185,Filozofski Vestnik,3534510,15811239,2002-2023,ENG; FRE; GER; SLV,Journal,Zalozba ZRC,1212
12942,Filtration and Separation,151882,18737218,1970-2024,ENG,Trade Journal,MA Healthcare Ltd,1506; 2300; 2209
21101023274,Finance,7526180,21010145,2019-2024,ENG,Journal,Presses Universitaires de Grenoble,2002; 2003
15089,Finance a Uver - Czech Journal of Economics and Finance,151920,,1996-2024,CZE,Journal,"Faculty of Social Sciences, Charles University",2002; 1402; 2003
15493,Finance and Development,1451707,15645142,1978-2024; 1975-1976; 1973,ENG,Journal,International Monetary Fund,3303; 2003; 3305
21101091648,Finance and Society,,20595999,2021-2024; 2019,ENG,Journal,Cambridge University Press,3301; 3312; 2003; 1201; 1207
15495,Finance and Stochastics,9492984,14321122,2004-2025,ENG,Journal,Springer Verlag,1804; 2003; 2613
21100896203,Finance India,9703772,,2018-2024,ENG,Journal,Indian Institute of Finance,2003; 1402
15519,Finance Research Letters,15446123,15446131,2004-2025,ENG,Journal,Elsevier B.V.,2003
